Greek Yogurt Parfait w/ Cookie Crumbs,240,1,0,1,1,0,0
Saltines,50,0,0,0,1,0,0
Chick-fil-A® Chicken Sandwich,440,1,1,1,1,0,0
Spicy Chicken Sandwich,460,1,1,1,1,0,0
Grilled Chicken Sandwich,380,0,1,0,1,0,0
Chick-fil-A® Cool Wrap,660,1,0,1,1,0,0
Chick-fil-A® Deluxe Sandwich w/ American,500,1,1,1,1,0,0
Chick-fil-A® Deluxe Sandwich w/ Colby Jack,530,1,1,1,1,0,0
Chick-fil-A® Deluxe Sandwich w/ Pepper Jack,520,1,1,1,1,0,0
Chick-fil-A® Deluxe Sandwich w/ No Cheese,450,1,1,1,1,0,0
Spicy Deluxe Sandwich w/ Pepper Jack,550,1,1,1,1,0,0
Spicy Deluxe Sandwich w/ American,520,1,1,1,1,0,0
Spicy Deluxe Sandwich w/ Colby Jack,550,1,1,1,1,0,0
Spicy Deluxe Sandwich w/ No Cheese,470,1,1,1,1,0,0
Grilled Chicken Club w/ Colby Jack,520,1,1,0,1,0,0
Grilled Chicken Club w/ American,490,1,1,0,1,0,0
Grilled Chicken Club w/ Pepper Jack,510,1,1,0,1,0,0
Grilled Chicken Club w/ No Cheese,430,0,1,0,1,0,0
5 ct Chick-fil-A® Nuggets,160,1,1,0,1,0,0
8 ct Chick-fil-A® Nuggets,250,1,1,0,1,0,0
12 ct Chick-fil-A® Nuggets,380,1,1,0,1,0,0
30 ct Chick-fil-A® Nuggets,950,1,1,0,1,0,0
5 ct Grilled Nuggets,80,0,0,0,0,0,0
8 ct Grilled Nuggets,130,0,0,0,0,0,0
12 ct Grilled Nuggets,200,0,0,0,0,0,0
2 ct Chick-fil-A Chick-n-Strips®,200,1,1,0,1,0,0
3 ct Chick-fil-A Chick-n-Strips®,310,1,1,0,1,0,0
4 ct Chick-fil-A Chick-n-Strips®,410,1,1,0,1,0,0
Grilled Breakfast Filet,60,0,0,0,0,0,0
Bacon,50,0,0,0,0,0,0
Chick-fil-A® Breakfast Filet,160,1,1,0,1,0,0
Sausage,240,0,0,0,0,0,0
Spicy Breakfast Filet,130,1,1,1,1,0,0
Grilled Filet,110,0,0,0,0,0,0
Spicy Filet,280,1,1,1,1,0,0
Chick-fil-A® Filet,250,1,1,0,1,0,0
8oz Chick-fil-A® Sauce,1140,0,1,0,0,0,0
8oz Polynesian Sauce,860,0,0,0,0,0,0
8oz Garden Herb Ranch Sauce,1100,1,1,0,0,0,0
8oz Honey Mustard Sauce,380,0,0,0,0,0,0
8oz Barbeque Sauce,360,0,0,0,0,0,0
Cobb Salad w/ Nuggets,850,1,1,0,1,0,0
